Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;4221;3401;;;;;;3401;3141;;;;;;;;;;;;;;;;;;;;;2399;0;;3701;3701;6478;0;2399;0;;;;;0;0;
2;3401;3141;;;;;;3141;2937;;;;;;;;;;;;;;;;;;;;0;;6001;;3286;3387;4180;4947;2399;0;;;;;4701;0;
3;3141;2937;;;;;;2937;2783;;;;;;;;;;;;;;;;;;;;0;;0;;2943;2943;3863;0;2399;0;;;;;3701;4701;
4;3241;3027;;;;;;2865;2715;;;;;;;;;;;;;;;;;;;0;0;;6002;;2911;2911;3711;5110;2399;6002;;;;;3807;3807;
5;2865;3027;;;;;;2614;2542;;;;;;;;;;;;;;;;;;;0;0;;6503;;2738;2738;3459;5110;2399;6590;;;;;3501;3807;
6;2764;2614;;;;;;2542;2542;;;;;;;;;;;;;;;;;;;0;0;0;6002;;2396;2738;3136;5110;2399;6590;;;;;3400;3501;
7;2614;2614;;;;;;2542;2542;;;;;;;;;;;;;;;;;;;0;0;0;6103;;;2396;3136;5110;2298;6590;;;;;3501;3501;
8;2614;2542;;;;;;2542;2542;;;;;;;;;;;;;;;;;;;6590;0;0;6103;;;;2882;5110;2298;6590;;;;;3277;3501;
9;2542;2542;;;;;;2542;2542;;;;;;;;;;;;;;;;;;;0;0;0;6103;;;;;4748;2298;4347;;;;;3277;3501;
10;2602;2602;;;;;;2602;2602;;;;;;;;;;;;;;;;;;;;0;0;4413;;;;;5373;2298;4413;;;;;3361;3260;
