Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;3275;3503;3275;3161;3161;2705;4614;3208;3790;3092;3208;2510;0;4964;2510;3851;2510;2510;;3613;4691;3428;3669;3669;3306;3669;0;;0;0;3836;2069;2913;5418;5768;3092;3325;5017;2460;2460;2460;3313;2460;3371;2460
2;3275;3275;3275;3047;3161;2705;4539;3208;3558;3092;3208;2510;2510;4964;2510;3558;2510;2510;2510;;4691;3376;3428;3669;3306;3428;5201;;0;2460;3836;3371;2913;0;5768;3092;3325;5017;2460;2460;2460;3313;2460;2460;2460
3;2898;3161;3161;3047;3161;2705;4539;2608;3558;3092;3208;2510;2510;4614;2510;2510;2510;2510;2510;3376;;3376;3376;3428;3428;3428;5201;;3502;3371;3836;3371;2734;0;0;3092;3325;5017;2460;2460;2460;3313;2460;2460;2460
4;2898;2705;3161;3047;3161;2705;4367;2608;2608;3092;3208;2510;2510;4614;2510;2510;2510;2510;2510;3376;4512;;3376;3376;3428;3428;5201;;0;3371;3836;3371;2645;0;0;3092;3208;5017;2460;2460;2460;3313;2460;2460;2460
5;3275;2705;2705;3047;3161;2705;4367;2608;2608;2088;3208;2510;2510;4439;2510;2510;2510;2510;2510;3376;4512;2510;;3376;3376;3306;5201;;3502;3371;3581;2069;2645;0;0;3092;3208;5017;2460;2460;2460;3313;2460;2460;2460
6;3275;3047;2705;2608;3047;2705;4367;2608;2608;2088;2088;2510;2510;4439;2510;2510;2510;2510;2510;3325;4512;2510;3257;;3257;3257;5201;;3502;2460;3581;2069;2645;3371;0;2976;3208;5017;2460;2460;2460;3313;2460;2460;2460
7;3275;3047;3047;2608;2705;2705;3681;2608;2608;2088;2088;2510;2510;4439;2510;2510;2510;2510;2510;2510;4439;2510;3257;3257;;3139;5116;;3502;2460;3581;2069;2555;3371;0;2976;3208;5017;2460;2460;2460;3313;2460;2460;2460
8;3161;3047;3047;2933;2705;2705;3681;2608;2608;2088;2088;2510;2510;4439;2510;2510;2510;2510;2510;2510;3390;2510;3257;3257;3257;;5116;0;3502;2460;3581;2069;2555;3371;0;2976;3208;5017;2460;2460;2460;3313;2460;2460;2460
9;2088;3047;3047;2933;3047;2705;3681;2608;2608;2088;2088;2510;2510;4367;2510;2510;2510;2510;2510;2510;3390;2510;3208;3257;3257;3139;;0;3502;2460;3581;2069;2555;3371;3568;2976;3208;5017;2460;2460;2460;3313;2460;2460;2460
10;2088;2088;3047;2933;3047;3047;3681;2608;2608;2088;2088;2510;2510;4367;2510;2510;2510;2510;2510;2510;3390;2510;2510;3208;3257;3139;4781;;3502;2460;3453;2069;2555;2460;4062;2976;3208;4663;2460;2460;2460;3313;2460;2460;2460
