Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;;144;117;133;167;146;108;;81;169;179;190;151;101;;56;190;177;;67;11;;97;133;147;113;0;;120;1;2;22;29;34;7;186;26;105;114;104;44;17;;68;144
2;;157;95;154;181;161;122;;79;177;185;200;176;114;;109;195;190;200;;13;;135;148;153;135;0;1;151;7;5;22;32;34;8;192;29;111;115;109;90;33;;101;144
3;;175;109;160;188;179;127;;92;180;187;203;189;136;;157;200;194;201;132;;;163;170;164;136;0;;;13;7;28;34;34;7;193;30;115;116;118;111;45;;117;162
4;;185;118;180;193;179;140;;117;198;188;204;192;151;;178;211;207;204;145;75;;163;191;177;139;0;1;;25;8;32;33;38;7;193;35;115;126;119;122;54;;136;170
5;;185;124;183;198;179;148;;138;203;200;205;195;155;;196;215;208;208;153;92;;;191;193;146;0;;;33;14;72;34;42;7;194;35;116;126;122;122;61;;152;173
6;;122;126;188;199;181;152;;156;206;207;212;196;169;;203;219;211;210;175;104;;175;;191;154;0;;;48;20;90;70;45;9;194;42;116;134;131;125;67;;158;175
7;;127;138;189;199;184;155;;162;209;208;213;197;169;;204;222;215;210;187;112;;182;210;;154;4;;;79;24;96;82;56;11;197;57;117;135;134;130;75;;161;176
8;;127;138;81;199;185;158;;172;208;208;217;203;180;;207;222;215;211;192;128;;189;210;203;;5;;;103;43;117;96;65;18;197;71;117;136;137;130;86;;163;178
9;;124;148;86;75;185;159;;173;209;207;219;206;187;;207;223;215;214;192;145;;201;211;203;163;;;;127;72;132;106;93;18;194;78;117;139;138;131;89;;164;178
10;;127;150;91;75;196;159;;182;210;207;221;206;189;;212;223;215;214;192;153;;204;211;206;163;41;;;136;99;150;123;106;23;194;97;118;143;139;131;99;;174;179
