Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;4818;5602;4425;4818;4425;4425;5956;4896;5296;3562;4496;5296;5696;6416;4496;5384;3562;3562;;4175;6527;3562;5888;3562;3562;5472;6280;;5936;5296;5296;4896;5296;5296;6969;5696;4896;6176;5696;4496;4496;5956;5696;5296;5296
2;4425;5602;4425;4425;4425;4425;5857;4496;5296;3562;4496;4896;5495;6416;4496;5296;3562;3562;4568;;6527;3562;5472;3562;3562;5056;6280;0;5516;5296;5296;4496;5296;5595;6969;5696;4896;5736;5696;4496;4496;5956;5696;5296;4896
3;4425;5210;4425;4425;4425;4425;5857;4425;5296;3562;4496;4496;5296;6416;4496;4896;3562;3562;4568;4175;;3562;4976;3562;3562;4640;6280;;5516;5296;4856;4496;4896;5595;6969;5696;4896;5736;3333;4496;4496;5496;5296;4896;4896
4;4425;4425;3719;4425;4425;4425;5406;4425;4818;3562;4496;4496;5495;6416;4496;4896;3562;3562;4568;4175;6058;;4976;3562;3562;4640;6280;;5516;5296;5296;4496;4896;5495;6969;5696;4896;5736;3333;4496;4496;5496;5296;4896;4896
5;4425;4425;3719;4425;4425;4425;5406;4425;4818;3562;4496;4496;5595;5956;4496;4496;3562;3562;4496;4175;6058;3562;;3562;3562;4640;6280;;5516;5595;5296;4496;4896;5595;6969;5296;4896;5736;3333;4496;4496;5496;5296;5495;4896
6;4425;4425;3719;4425;4425;4425;4955;4425;4495;3562;4425;4496;4795;5956;4496;4695;3562;3562;4496;4175;6058;3562;4568;;3562;4568;6280;;5516;5495;5296;4496;4896;5595;6969;5296;4896;5736;3333;4496;4496;5496;5296;5295;4496
7;4425;4425;4425;4425;4425;4425;4955;4425;4425;3562;4425;4425;4895;6416;4496;5395;3562;3562;4496;4175;5956;3562;4568;3562;;4568;6176;;5516;5095;5296;4496;4496;5495;6969;5296;4896;5296;3333;4496;4496;5496;3333;5395;4496
8;4425;4425;4425;4425;4425;4425;4955;4595;4425;3562;4425;4425;4425;6416;4496;5395;3562;3562;4496;4175;5956;3562;4568;3562;3562;;5736;;5516;4896;5296;4496;4496;5495;6969;5296;4896;5296;3333;4496;4496;5496;3333;5095;4496
9;4425;4495;4425;4425;4425;4425;4955;4425;4695;3562;4425;4425;4425;6308;4496;5395;3562;3562;4496;4175;5956;3562;4496;3562;3562;4568;;0;5516;4896;5296;4496;4496;5395;6969;5296;4896;5296;3333;4496;4695;5496;3333;4995;4496
10;4425;5195;4425;4425;4425;4425;4955;4425;4795;3562;4425;4695;4695;6308;4425;5195;3562;3562;4496;4175;5956;3562;4895;3562;3562;4568;5736;;5096;4896;5296;4496;4496;5595;6969;5296;4896;5296;3333;4496;5195;5496;3333;4995;4496
