Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;28;45;11;48;16;18;19;22;67;28;37;44;14;0;0;36;0;35;;0;0;0;33;8;24;28;8;0;0;0;0;3;3;4;0;0;68;35;22;13;7;0;7;56;0
2;44;51;14;52;47;36;29;41;66;33;41;60;37;0;6;52;0;42;47;;0;0;41;9;32;50;31;0;0;0;2;0;3;8;0;0;68;49;26;24;37;0;19;58;0
3;68;62;45;71;64;55;56;61;75;47;54;75;67;36;29;73;31;54;61;61;;7;50;23;49;68;55;2;1;0;2;7;13;17;5;3;80;54;38;32;50;26;27;76;25
4;70;69;51;83;63;60;78;67;79;74;57;77;69;47;37;78;48;67;62;64;24;;53;34;63;72;56;2;1;1;6;8;22;21;5;3;82;54;44;33;47;29;30;79;46
5;77;71;56;86;73;62;78;67;82;81;67;79;71;51;44;85;57;70;69;69;28;46;;36;70;82;60;2;1;1;15;25;24;30;7;5;82;63;50;45;53;30;36;79;69
6;79;74;57;89;74;63;89;70;90;85;70;90;71;55;54;87;68;79;78;75;34;47;61;;70;86;61;2;1;1;29;32;40;31;5;5;82;71;54;52;61;35;38;85;82
7;83;74;66;89;76;75;93;72;92;88;79;92;79;57;57;88;80;86;80;72;47;54;68;67;;86;62;2;1;1;37;37;45;37;3;5;82;76;60;55;66;42;34;86;83
8;85;76;67;94;76;75;87;74;93;88;82;89;85;69;61;88;84;86;82;80;51;57;71;67;81;;63;2;1;14;44;39;53;41;6;5;84;79;61;58;66;46;34;87;83
9;85;76;67;94;83;75;88;74;93;89;86;89;91;69;63;88;84;88;86;81;58;61;79;69;83;92;;2;1;36;58;51;61;44;5;2;84;80;63;64;67;53;36;87;83
10;85;83;67;96;83;77;89;76;93;91;86;89;93;71;78;94;86;88;86;81;59;61;81;73;83;92;74;;1;41;73;60;67;55;8;2;84;81;64;65;67;57;37;87;83
