Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;72;91;73;79;72;46;50;80;92;76;74;78;59;40;53;67;60;63;;10;52;54;90;64;70;75;70;7;12;8;68;50;67;73;73;65;93;84;73;65;45;31;80;92;55
2;72;83;68;71;76;64;56;78;86;68;80;73;65;48;64;74;64;69;76;;47;74;85;69;71;78;70;16;0;0;64;50;65;73;64;57;83;79;65;66;64;52;73;84;53
3;73;86;69;71;77;69;63;78;88;69;80;74;74;70;75;76;73;74;79;73;;75;87;73;72;82;76;30;0;0;64;61;69;73;67;57;83;82;72;71;66;67;74;84;62
4;75;87;79;78;77;71;68;78;88;87;81;75;78;76;80;78;80;83;83;75;72;;88;77;80;82;80;45;0;10;69;67;72;75;67;58;85;82;79;75;70;70;77;85;69
5;80;88;79;82;79;71;70;82;88;87;86;75;80;77;83;86;83;84;86;75;72;87;;77;82;86;81;49;4;37;73;69;69;79;67;58;85;85;79;75;71;70;79;85;75
6;83;88;79;84;80;83;70;83;88;88;88;80;80;77;83;86;84;85;86;76;79;88;88;;82;87;81;47;17;57;79;72;70;79;70;58;85;86;81;76;74;70;79;85;80
7;83;88;86;84;85;87;72;83;88;88;88;85;85;77;83;86;85;85;86;81;79;88;88;83;;87;83;50;28;79;79;77;69;79;70;60;85;86;81;78;77;75;80;85;80
8;83;88;86;87;85;88;79;85;88;87;88;85;83;83;83;86;85;86;87;83;83;88;88;84;81;;83;51;46;79;79;78;69;79;70;60;87;86;81;80;77;77;81;85;80
9;83;88;86;87;85;88;81;87;88;87;88;86;85;83;84;86;85;86;88;83;85;88;88;84;83;87;;51;51;83;82;80;77;80;70;63;87;87;81;81;84;81;81;85;80
10;83;88;86;87;85;88;83;87;88;87;88;88;85;85;84;86;85;86;88;83;85;88;88;85;84;88;85;;55;83;82;84;77;80;73;63;87;87;83;81;84;82;81;85;81
