Дней до отправления;2021-04-03;2021-04-04;2021-04-05;2021-04-06;2021-04-07;2021-04-08;2021-04-09;2021-04-10;2021-04-11;2021-04-12;2021-04-13;2021-04-14;2021-04-15;2021-04-16;2021-04-17;2021-04-18;2021-04-19;2021-04-20;2021-04-21;2021-04-22;2021-04-23;2021-04-24;2021-04-25;2021-04-26;2021-04-27;2021-04-28;2021-04-29;2021-04-30;2021-05-01;2021-05-02;2021-05-03;2021-05-04;2021-05-05;2021-05-06;2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17
1;3316;4704;3578;3230;3346;4150;0;3578;4150;0;3578;0;0;;0;;0;3790;;0;;0;0;0;3790;4104;0;0;0;;6881;5504;3790;4704;0;0;0;0;0;4104;0;0;3804;0;0
2;3158;4150;3346;3230;3230;3848;0;3230;4150;0;3578;0;0;0;5104;0;0;3578;3790;;;5104;0;0;3790;3790;5504;;0;;6881;4704;3790;4150;0;4104;2802;6404;0;4104;4704;0;3544;5504;0
3;3012;3848;3186;3162;3162;3504;4684;3162;3848;2402;3346;3790;4150;6404;4104;5504;5104;3578;3790;4704;;5104;5504;4104;3578;3790;4704;;0;0;6881;4704;3790;4150;6404;4104;2802;0;5104;4104;4704;6404;3544;4704;3790
4;3084;3716;3118;3242;3242;3544;4404;3242;3716;2402;3436;3904;4204;6506;3904;5586;4210;3436;3680;4204;6506;;5586;3904;3680;3680;4204;;0;0;6506;4770;3680;4204;6506;3904;2802;0;5252;3904;4770;6506;3430;4770;3904
5;2962;3716;3046;3242;3242;3450;4114;3242;3544;2402;3314;3904;4204;6506;3680;4770;3904;3314;3680;4204;6506;3904;;3904;3436;3680;4204;;0;0;6506;4204;3680;3896;6506;3904;2802;6506;5252;3904;4204;6506;3430;4770;3680
6;2908;3544;3046;3066;3242;3450;3862;3242;3450;2402;3242;3680;4204;6506;3680;4770;3680;3242;3436;3896;6506;3904;4770;;3436;3436;3896;;0;2802;6506;3896;3680;3896;6506;3904;2802;6506;4210;3904;4204;6506;3430;4204;3680
7;2908;3544;3046;3066;3242;3450;3862;3242;3450;2402;3242;3436;3896;4750;3680;4770;3436;3242;3314;3896;4750;3904;4770;3436;;3436;3896;;0;2802;6506;3896;3436;3896;6506;3680;2802;6506;4210;3680;3896;6506;3430;4204;3436
8;2908;3450;3046;3066;3242;3450;3730;2908;3450;2402;3242;3314;3716;4404;3680;4204;3436;3242;3314;3716;4750;3680;4770;3436;3314;;3896;0;0;2802;6506;3896;3436;3896;6506;3680;2802;6506;4210;3680;3896;6506;3268;4204;3436
9;2908;3450;3046;3066;3066;3450;3730;2908;3450;2402;3242;3314;3716;4114;3436;4204;3436;3242;3314;3716;4404;3680;4204;3436;3314;3314;;0;0;2802;0;3716;3314;3716;6506;3680;2802;6506;3904;3680;3896;4750;3268;3896;3436
10;2960;3488;2944;3126;3126;3342;3746;2960;3488;2402;3310;3310;3584;4244;3510;3944;3510;3310;3384;3584;4244;3510;4258;3384;3384;3384;3584;;0;2802;0;3760;3384;3760;6608;3510;2802;6608;3998;3764;3944;4816;3180;3944;3510
