train,mu,eig,both,direction,departure
002А-Купе,2,1,1,from Moscow,23.916666666666668
005А-СВ,2,0,1,to Moscow,22.48333333333333
006А-СВ,2,0,0,from Moscow,22.83333333333333
703Н-СВ,0,1,1,to Moscow,11.083333333333334
703Н-Сидячий,0,1,1,to Moscow,11.083333333333334
705Н-Сидячий,2,0,0,to Moscow,15.633333333333333
707Н-Сидячий,0,0,1,to Moscow,18.95
709Н-Сидячий,0,1,1,to Moscow,20.183333333333334
751А-B1,0,1,1,to Moscow,5.05
751А-C2,2,1,1,to Moscow,5.05
752А-C2,2,1,1,from Moscow,5.75
753А-C2,0,1,1,to Moscow,6.666666666666667
754А-B2,2,1,1,from Moscow,6.833333333333333
754А-C2,2,1,0,from Moscow,6.833333333333333
756А-B2,1,2,0,from Moscow,7.0
756А-C2,1,0,0,from Moscow,7.0
760А-B2,1,2,2,from Moscow,9.666666666666666
760А-C1,1,0,0,from Moscow,9.666666666666666
760А-C2,1,2,2,from Moscow,9.666666666666666
767А-B2,1,2,2,to Moscow,15.0
767А-C1,2,0,0,to Moscow,15.0
767А-C2,1,0,0,to Moscow,15.0
768А-C2,2,1,0,from Moscow,15.5
769А-B2,1,0,0,to Moscow,15.166666666666666
769А-C1,2,1,1,to Moscow,15.166666666666666
769А-C2,1,0,0,to Moscow,15.166666666666666
770А-C2,2,1,0,from Moscow,15.666666666666666
772А-B2,2,0,0,from Moscow,17.5
772А-C2,2,0,0,from Moscow,17.5
773А-B2,1,2,2,to Moscow,17.166666666666668
773А-C1,2,0,0,to Moscow,17.166666666666668
773А-C2,1,0,0,to Moscow,17.166666666666668
775А-B2,2,0,0,to Moscow,19.0
775А-C1,0,1,1,to Moscow,19.0
775А-C2,2,0,0,to Moscow,19.0
776А-B1,0,1,1,from Moscow,19.5
776А-B2,2,1,1,from Moscow,19.5
776А-C1,0,1,1,from Moscow,19.5
776А-C2,0,1,1,from Moscow,19.5
777А-B2,2,0,0,to Moscow,19.166666666666668
777А-C1,0,1,1,to Moscow,19.166666666666668
777А-C2,2,0,0,to Moscow,19.166666666666668
778А-B2,2,1,1,from Moscow,19.666666666666668
778А-C2,2,1,1,from Moscow,19.666666666666668
779А-B1,0,1,1,to Moscow,21.0
779А-B2,2,0,0,to Moscow,21.0
779А-C1,0,1,1,to Moscow,21.0
779А-C2,2,0,0,to Moscow,21.0
780А-B2,2,1,1,from Moscow,21.0
780А-C2,2,1,0,from Moscow,21.0
