num,class,explained,r2,train
001А,Купе,0.781761741906139,0.19678043553040825,001А-Купе
002А,Купе,0.821367917434426,0.2218298652176096,002А-Купе
005А,СВ,0.8471173622104097,0.16917376746238244,005А-СВ
006А,СВ,0.876930898222459,0.17750933180779105,006А-СВ
701Н,СВ,0.6599604734931478,0.6380771854933569,701Н-СВ
701Н,Сидячий,0.8438346465147845,0.2375579334564324,701Н-Сидячий
702Н,СВ,0.5407280843644329,0.6252878758011998,702Н-СВ
702Н,Сидячий,0.7410403141605783,0.23216687030793826,702Н-Сидячий
703Н,СВ,0.7805893891013379,0.5840809708328867,703Н-СВ
703Н,Сидячий,0.8518978838288856,0.27549312976464524,703Н-Сидячий
704Н,СВ,0.7123838196825593,0.721608762921017,704Н-СВ
704Н,Сидячий,0.8865675451659573,0.46116287489173236,704Н-Сидячий
705Н,СВ,0.514788591536172,0.5182993514807022,705Н-СВ
705Н,Сидячий,0.9191921991009786,0.6045587280191196,705Н-Сидячий
706Н,СВ,0.739659095128944,0.6223106872396509,706Н-СВ
706Н,Сидячий,0.8863991243341952,0.4077777474395705,706Н-Сидячий
707Н,СВ,0.7666899418760685,0.5372306964514448,707Н-СВ
707Н,Сидячий,0.9135768030143981,0.5278477306889409,707Н-Сидячий
708Н,СВ,0.623968238904011,0.707268298345693,708Н-СВ
708Н,Сидячий,0.911712185805692,0.44961674520554196,708Н-Сидячий
709Н,СВ,0.8172120190318906,0.33897622853023923,709Н-СВ
709Н,Сидячий,0.950938799124804,0.450852055928632,709Н-Сидячий
710Н,СВ,0.7641929786135325,0.8769467484655943,710Н-СВ
710Н,Сидячий,0.8940166973117112,0.47336785621847566,710Н-Сидячий
751А,B1,0.7477384219628938,0.2048393715848652,751А-B1
751А,B2,0.7845013963327706,0.21883844509903305,751А-B2
751А,C1,0.6977682758540873,0.2515264444094808,751А-C1
751А,C2,0.8043955757816347,0.3908257257066675,751А-C2
752А,B1,0.6979446243861867,0.1276927634190268,752А-B1
752А,B2,0.7328342593882965,0.29064976938769005,752А-B2
752А,C1,0.6049209775728625,0.1750854123339467,752А-C1
752А,C2,0.87785136831614,0.46727043063441587,752А-C2
753А,B1,0.7114713753717669,0.1454755583452122,753А-B1
753А,B2,0.8143025668800522,0.14641129659458962,753А-B2
753А,C1,0.7846597835684159,0.15766379080314963,753А-C1
753А,C2,0.7977772750476928,0.2778672469425508,753А-C2
754А,B1,0.7866265004952817,0.12703772505767386,754А-B1
754А,B2,0.8191648287739954,0.47207453123891685,754А-B2
754А,C1,0.8112307709216292,0.38580215911466453,754А-C1
754А,C2,0.8771479694413968,0.5444663968248334,754А-C2
755А,B1,0.7339948250647402,0.12632530352564986,755А-B1
755А,B2,0.6973002984107883,0.20986890527411584,755А-B2
755А,C1,0.7311556478309895,0.2573767854630713,755А-C1
755А,C2,0.8242570631637598,0.25584306424910064,755А-C2
756А,B1,0.7282797227474997,0.14344135342276054,756А-B1
756А,B2,0.850116385248924,0.4217702696598603,756А-B2
756А,C1,0.8068279468188182,0.4393055097275457,756А-C1
756А,C2,0.9061960146831016,0.6028179265912872,756А-C2
