num,class,explained,r2,train
001А,Купе,0.7130060063687113,0.04674182345524047,001А-Купе
002А,Купе,0.700179886176092,0.058589303489127165,002А-Купе
005А,СВ,0.7121781530114354,0.14598800641560694,005А-СВ
006А,СВ,0.7907329712987021,0.2170582644330057,006А-СВ
701Н,СВ,0.6396112493597906,0.18192123407352323,701Н-СВ
701Н,Сидячий,0.7200134252683611,0.16679478557625593,701Н-Сидячий
703Н,СВ,0.7354908684920759,0.15687271958559157,703Н-СВ
703Н,Сидячий,0.8044758834251825,0.22766017156648055,703Н-Сидячий
705Н,СВ,0.7272289556189634,0.2356551015783771,705Н-СВ
705Н,Сидячий,0.9009629999466864,0.557914250120797,705Н-Сидячий
707Н,СВ,0.7173212808769553,0.15983498231065763,707Н-СВ
707Н,Сидячий,0.8876624289746816,0.5182714610212722,707Н-Сидячий
709Н,СВ,0.7193888264765825,0.06634828887089494,709Н-СВ
709Н,Сидячий,0.8774117887073327,0.43552720368322184,709Н-Сидячий
751А,B1,0.7438087228940817,0.23244744975771248,751А-B1
751А,B2,0.6956045548729738,0.1354899034985234,751А-B2
751А,C1,0.5801621273127339,0.16891909935404115,751А-C1
751А,C2,0.7731720073901649,0.23818103112647493,751А-C2
752А,B1,0.626143429384789,0.17406524178694127,752А-B1
752А,B2,0.7150748847355447,0.20496638996904437,752А-B2
752А,C1,0.5233730579440287,0.11922915477964036,752А-C1
752А,C2,0.8022033586351456,0.2683722382306498,752А-C2
753А,B1,0.583447956608815,0.18074029325363328,753А-B1
753А,B2,0.7266122448229508,0.0586646384040842,753А-B2
753А,C1,0.7382375168072274,0.09419467552872474,753А-C1
753А,C2,0.5556539627746638,0.12474054548480284,753А-C2
754А,B1,0.49756910414295386,0.14407543780449295,754А-B1
754А,B2,0.6702583031038286,0.38009760472690435,754А-B2
754А,C1,0.7124329437553716,0.31359714303343345,754А-C1
754А,C2,0.7775403432428448,0.3977818507152938,754А-C2
755А,B1,0.6583428708691891,0.11577991673996646,755А-B1
755А,B2,0.6047781818997228,0.08844086101702497,755А-B2
755А,C1,0.6999131761906116,0.14467763822750723,755А-C1
755А,C2,0.7361285877030804,0.10253004960563405,755А-C2
756А,B1,0.6122911560678466,0.17447422851284144,756А-B1
756А,B2,0.6719299799982449,0.3453194667443933,756А-B2
756А,C1,0.7300816963663057,0.3831571279698063,756А-C1
756А,C2,0.8412088072057894,0.47597691108499296,756А-C2
759А,B1,0.6909497280058023,0.11898482319258663,759А-B1
759А,B2,0.7275767281552463,0.23545151746338377,759А-B2
759А,C1,0.7734742556102603,0.2455891708208764,759А-C1
759А,C2,0.7321549517234891,0.3852171721147022,759А-C2
760А,B1,0.636756565338482,0.1501658711040047,760А-B1
760А,B2,0.773859912796028,0.48165696163649363,760А-B2
760А,C1,0.7046398747298767,0.5464735178233624,760А-C1
760А,C2,0.8564895592595705,0.5931764756179372,760А-C2
767А,B1,0.7404654606780983,0.2127545495371942,767А-B1
767А,B2,0.7511077873985814,0.33532626577149205,767А-B2
767А,C1,0.7382166888032458,0.400530531260761,767А-C1
767А,C2,0.8728656471028715,0.4455511376683906,767А-C2
768А,B1,0.6171494196631724,0.23182354081993883,768А-B1
768А,B2,0.6661727676402033,0.1936949536033682,768А-B2
768А,C1,0.7367316500871145,0.2745963872820326,768А-C1
768А,C2,0.8507066782091459,0.4068239679203185,768А-C2
769А,B1,0.6678471346274619,0.24971526591976656,769А-B1
769А,B2,0.7952131300646044,0.37066853472603745,769А-B2
769А,C1,0.7752301892323307,0.45005034118291465,769А-C1
769А,C2,0.890378562244267,0.48911679970044053,769А-C2
770А,B1,0.510724419265232,0.17510227965633363,770А-B1
770А,B2,0.705057626343311,0.26963626322928824,770А-B2
770А,C1,0.6679067307972919,0.29483437865518425,770А-C1
770А,C2,0.788823045002461,0.40378207252312504,770А-C2
772А,B1,0.5965258469245709,0.20939157272962738,772А-B1
772А,B2,0.7504410793942511,0.2880912354130535,772А-B2
772А,C1,0.5435271821223483,0.3511832388029169,772А-C1
772А,C2,0.8600265316885217,0.44968501713641484,772А-C2
773А,B1,0.6411482333481813,0.24355438018243425,773А-B1
773А,B2,0.8120674714292796,0.3984584222053613,773А-B2
773А,C1,0.789986146111489,0.5136535222256953,773А-C1
773А,C2,0.8914000747901588,0.5603336798936462,773А-C2
775А,B1,0.6453850630782131,0.24189286958994993,775А-B1
775А,B2,0.8536067716174974,0.4951212434860859,775А-B2
775А,C1,0.7976147479240696,0.42759273801009656,775А-C1
775А,C2,0.8996230286296065,0.4718666907193634,775А-C2
776А,B1,0.691215398626005,0.2330494337858413,776А-B1
776А,B2,0.7684712084202183,0.3422318146414608,776А-B2
776А,C1,0.7923190603856244,0.22899411043318174,776А-C1
776А,C2,0.8224893733404856,0.3871528647637811,776А-C2
777А,B1,0.6281387818271656,0.16532794926685068,777А-B1
777А,B2,0.82690377288019,0.4580462447644481,777А-B2
777А,C1,0.73310351144544,0.44940175111917524,777А-C1
777А,C2,0.8846110289501458,0.4192616083071391,777А-C2
778А,B1,0.6618392431580298,0.17355896362289436,778А-B1
778А,B2,0.7300407556837782,0.2596924653565923,778А-B2
778А,C1,0.5990112470016898,0.2118305196217295,778А-C1
778А,C2,0.7748218891793567,0.3356103070344383,778А-C2
779А,B1,0.7157036319108937,0.2184945776984225,779А-B1
779А,B2,0.8250802829007483,0.3964971466119901,779А-B2
779А,C1,0.7519931882857126,0.3944590769681099,779А-C1
779А,C2,0.8788036315312204,0.37502890908978703,779А-C2
780А,B1,0.7396367555671526,0.1862815865783879,780А-B1
780А,B2,0.7344324033729211,0.2667411180926853,780А-B2
780А,C1,0.5465698414748559,0.27631626672197585,780А-C1
780А,C2,0.8644494748068504,0.33215348691655056,780А-C2
