Категория: Все категории

День,"""Москва Питер"" билеты: (Россия)","""Москва Питер"" сапсан: (Россия)",Москва Питер билеты: (Россия),Москва Питер сапсан билеты: (Россия)
2021-04-01,27,40,27,13
2021-04-02,28,56,28,28
2021-04-03,32,48,32,16
2021-04-04,0,0,15,0
2021-04-05,0,13,0,0
2021-04-06,0,26,13,0
2021-04-07,39,78,39,26
2021-04-08,0,40,0,0
2021-04-09,13,27,13,13
2021-04-10,31,31,31,16
2021-04-11,0,31,0,0
2021-04-12,0,0,0,0
2021-04-13,13,79,13,13
2021-04-14,54,67,54,13
2021-04-15,13,27,13,0
2021-04-16,0,0,14,0
2021-04-17,16,33,16,0
2021-04-18,31,47,31,0
2021-04-19,13,0,26,0
2021-04-20,13,26,26,13
2021-04-21,13,26,13,0
2021-04-22,40,53,40,0
2021-04-23,13,67,13,0
2021-04-24,15,76,30,15
2021-04-25,29,44,29,15
2021-04-26,0,89,0,0
2021-04-27,38,13,51,0
2021-04-28,13,53,40,0
2021-04-29,13,40,13,13
2021-04-30,0,28,0,0
2021-05-01,0,17,33,0
2021-05-02,49,16,49,0
2021-05-03,16,16,16,0
2021-05-04,0,0,0,0
2021-05-05,0,15,0,0
2021-05-06,0,44,0,0
2021-05-07,31,47,47,16
2021-05-08,16,49,16,0
2021-05-09,16,49,16,0
2021-05-10,0,16,16,0
2021-05-11,0,52,0,0
2021-05-12,13,27,13,0
2021-05-13,0,0,14,0
2021-05-14,29,44,29,29
2021-05-15,17,17,17,17
2021-05-16,0,0,0,0
2021-05-17,14,14,27,0
2021-05-18,27,27,27,0
2021-05-19,26,53,26,0
2021-05-20,27,13,27,0
2021-05-21,14,57,29,0
2021-05-22,34,50,34,17
2021-05-23,0,33,16,0
2021-05-24,27,95,41,14
2021-05-25,14,28,14,0
2021-05-26,56,42,56,14
2021-05-27,28,71,42,28
2021-05-28,0,0,0,0
2021-05-29,17,0,17,0
2021-05-30,0,17,0,0
2021-05-31,14,14,14,0
2021-06-01,14,43,28,28
2021-06-02,57,86,57,29
2021-06-03,14,28,14,0
2021-06-04,29,44,29,15
2021-06-05,0,69,0,0
2021-06-06,0,51,0,0
2021-06-07,29,100,29,0
2021-06-08,29,29,43,29
2021-06-09,0,29,0,0
2021-06-10,0,43,14,0
2021-06-11,30,74,30,15
2021-06-12,34,17,51,17
2021-06-13,50,99,50,33
2021-06-14,49,16,49,16
2021-06-15,14,42,14,0
2021-06-16,29,14,43,0
2021-06-17,0,15,0,0
2021-06-18,45,60,60,0
2021-06-19,18,18,18,0
2021-06-20,17,34,17,0
2021-06-21,14,29,14,0
2021-06-22,0,15,0,0
2021-06-23,15,15,15,0
2021-06-24,15,0,30,0
2021-06-25,0,61,0,0
2021-06-26,0,0,0,0
2021-06-27,17,17,17,0
