train,mu,eig,both
002А-Купе,0,0,0-0
005А-СВ,0,0,0-0
006А-СВ,0,1,0-1
701Н-Сидячий,2,2,2-2
703Н-Сидячий,2,2,2-2
704Н-Сидячий,0,2,0-2
705Н-Сидячий,0,1,0-1
706Н-Сидячий,2,2,2-2
707Н-Сидячий,2,0,2-0
708Н-Сидячий,2,2,2-2
709Н-СВ,2,2,2-2
709Н-Сидячий,2,2,2-2
710Н-СВ,2,2,2-2
710Н-Сидячий,0,0,0-0
751А-C2,0,0,0-0
752А-B1,2,2,2-2
752А-C2,0,2,0-2
753А-B2,0,0,0-0
754А-B2,0,0,0-0
754А-C1,2,2,2-2
754А-C2,0,0,0-0
755А-C2,2,0,2-0
756А-B2,1,1,1-1
756А-C1,2,0,2-0
756А-C2,1,1,1-1
759А-B2,1,1,1-1
759А-C2,0,0,0-0
760А-B2,1,3,1-3
760А-C1,1,1,1-1
760А-C2,1,3,1-3
765А-B1,0,0,0-0
765А-B2,1,1,1-1
765А-C1,0,0,0-0
765А-C2,1,1,1-1
766А-B2,1,1,1-1
766А-C1,0,2,0-2
766А-C2,0,1,0-1
767А-B1,0,1,0-1
767А-B2,1,1,1-1
767А-C1,0,0,0-0
767А-C2,1,1,1-1
768А-C2,0,0,0-0
769А-B2,1,1,1-1
769А-C1,0,0,0-0
769А-C2,1,1,1-1
770А-C2,0,0,0-0
772А-B2,0,1,0-1
772А-C1,2,0,2-0
772А-C2,0,0,0-0
773А-B2,1,3,1-3
773А-C1,0,0,0-0
773А-C2,1,1,1-1
775А-B1,2,2,2-2
775А-B2,0,1,0-1
775А-C1,2,2,2-2
775А-C2,0,1,0-1
776А-B1,2,0,2-0
776А-B2,0,2,0-2
776А-C2,2,2,2-2
777А-B2,0,1,0-1
777А-C1,2,2,2-2
777А-C2,0,1,0-1
778А-B2,0,2,0-2
778А-C1,2,2,2-2
778А-C2,0,2,0-2
779А-B1,2,2,2-2
779А-B2,0,1,0-1
779А-C1,2,2,2-2
779А-C2,0,1,0-1
780А-B2,0,0,0-0
780А-C2,0,0,0-0
