num,departure_time,travel_time
701Н,07:45,03:52
703Н,11:05,03:55
705Н,15:38,03:52
707Н,18:57,03:40
709Н,20:11,03:48
702Н,06:35,03:35
704Н,10:34,03:51
706Н,14:00,03:43
708Н,15:43,03:49
710Н,20:21,03:38
001А,23:55,08:00
003А,23:30,09:00
005А,22:29,08:16
751А,05:03,03:30
753А,06:40,04:03
755А,06:50,04:02
757А,09:00,03:58
759А,09:10,03:55
761А,11:00,03:46
763А,11:10,03:46
765А,13:00,03:58
767А,15:00,03:45
769А,15:10,03:49
771Н,17:00,03:58
773А,17:10,03:52
775А,19:00,03:58
777А,19:10,04:03
779А,21:00,03:35
002А,23:55,08:00
004А,23:30,09:00
006А,22:50,07:40
752А,05:45,03:30
754А,06:50,03:55
756А,07:00,04:04
758*Н,09:18,04:02
760А,09:40,03:50
762А,11:30,03:46
764А,11:40,03:46
766А,13:30,03:55
768А,15:30,03:46
770А,15:40,03:39
772А,17:30,03:46
774А,17:40,03:55
776А,19:30,03:55
778А,19:40,04:04
780А,21:00,03:35
