train,cluster,direction,departure,departs,group,weekends
001А-Купе,0,to Moscow,23.916666666666668,after 11am,"to Moscow, after 11am",[6]
005А-СВ,0,to Moscow,22.48333333333333,after 11am,"to Moscow, after 11am",[6]
703Н-СВ,0,to Moscow,11.083333333333334,after 11am,"to Moscow, after 11am",[6]
703Н-Сидячий,0,to Moscow,11.083333333333334,after 11am,"to Moscow, after 11am",[6]
705Н-СВ,0,to Moscow,15.633333333333333,after 11am,"to Moscow, after 11am",[6]
705Н-Сидячий,0,to Moscow,15.633333333333333,after 11am,"to Moscow, after 11am",[6]
706Н-Сидячий,0,from Moscow,14.0,after 11am,"from Moscow, after 11am",[6]
707Н-СВ,0,to Moscow,18.95,after 11am,"to Moscow, after 11am",[6]
707Н-Сидячий,0,to Moscow,18.95,after 11am,"to Moscow, after 11am",[6]
709Н-СВ,0,to Moscow,20.183333333333334,after 11am,"to Moscow, after 11am",[6]
709Н-Сидячий,0,to Moscow,20.183333333333334,after 11am,"to Moscow, after 11am",[6]
765А-B1,0,to Moscow,13.0,after 11am,"to Moscow, after 11am",[6]
765А-B2,0,to Moscow,13.0,after 11am,"to Moscow, after 11am",[6]
765А-C1,0,to Moscow,13.0,after 11am,"to Moscow, after 11am",[6]
765А-C2,0,to Moscow,13.0,after 11am,"to Moscow, after 11am",[6]
767А-B1,0,to Moscow,15.0,after 11am,"to Moscow, after 11am",[6]
767А-B2,0,to Moscow,15.0,after 11am,"to Moscow, after 11am",[6]
767А-C1,0,to Moscow,15.0,after 11am,"to Moscow, after 11am",[6]
767А-C2,0,to Moscow,15.0,after 11am,"to Moscow, after 11am",[6]
769А-B1,0,to Moscow,15.166666666666666,after 11am,"to Moscow, after 11am",[6]
769А-B2,0,to Moscow,15.166666666666666,after 11am,"to Moscow, after 11am",[6]
769А-C1,0,to Moscow,15.166666666666666,after 11am,"to Moscow, after 11am",[6]
769А-C2,0,to Moscow,15.166666666666666,after 11am,"to Moscow, after 11am",[6]
773А-B1,0,to Moscow,17.166666666666668,after 11am,"to Moscow, after 11am",[6]
773А-B2,0,to Moscow,17.166666666666668,after 11am,"to Moscow, after 11am",[6]
773А-C1,0,to Moscow,17.166666666666668,after 11am,"to Moscow, after 11am",[6]
773А-C2,0,to Moscow,17.166666666666668,after 11am,"to Moscow, after 11am",[6]
775А-B1,0,to Moscow,19.0,after 11am,"to Moscow, after 11am",[6]
775А-B2,0,to Moscow,19.0,after 11am,"to Moscow, after 11am",[6]
775А-C1,0,to Moscow,19.0,after 11am,"to Moscow, after 11am",[6]
775А-C2,0,to Moscow,19.0,after 11am,"to Moscow, after 11am",[6]
777А-B1,0,to Moscow,19.166666666666668,after 11am,"to Moscow, after 11am",[6]
777А-B2,0,to Moscow,19.166666666666668,after 11am,"to Moscow, after 11am",[6]
777А-C1,0,to Moscow,19.166666666666668,after 11am,"to Moscow, after 11am",[6]
777А-C2,0,to Moscow,19.166666666666668,after 11am,"to Moscow, after 11am",[6]
779А-B1,0,to Moscow,21.0,after 11am,"to Moscow, after 11am",[6]
779А-B2,0,to Moscow,21.0,after 11am,"to Moscow, after 11am",[6]
779А-C1,0,to Moscow,21.0,after 11am,"to Moscow, after 11am",[6]
779А-C2,0,to Moscow,21.0,after 11am,"to Moscow, after 11am",[6]
701Н-СВ,1,to Moscow,7.75,before 11am,"to Moscow, before 11am",[0]
701Н-Сидячий,1,to Moscow,7.75,before 11am,"to Moscow, before 11am",[0]
702Н-СВ,1,from Moscow,6.583333333333333,before 11am,"from Moscow, before 11am",[0]
751А-B1,1,to Moscow,5.05,before 11am,"to Moscow, before 11am",[0]
751А-B2,1,to Moscow,5.05,before 11am,"to Moscow, before 11am",[0]
751А-C1,1,to Moscow,5.05,before 11am,"to Moscow, before 11am",[0]
751А-C2,1,to Moscow,5.05,before 11am,"to Moscow, before 11am",[0]
752А-B1,1,from Moscow,5.75,before 11am,"from Moscow, before 11am",[0]
753А-B1,1,to Moscow,6.666666666666667,before 11am,"to Moscow, before 11am",[0]
753А-B2,1,to Moscow,6.666666666666667,before 11am,"to Moscow, before 11am",[0]
753А-C1,1,to Moscow,6.666666666666667,before 11am,"to Moscow, before 11am",[0]
753А-C2,1,to Moscow,6.666666666666667,before 11am,"to Moscow, before 11am",[0]
755А-B1,1,to Moscow,6.833333333333333,before 11am,"to Moscow, before 11am",[0]
755А-B2,1,to Moscow,6.833333333333333,before 11am,"to Moscow, before 11am",[0]
755А-C1,1,to Moscow,6.833333333333333,before 11am,"to Moscow, before 11am",[0]
759А-B1,1,to Moscow,9.166666666666666,before 11am,"to Moscow, before 11am",[0]
759А-B2,1,to Moscow,9.166666666666666,before 11am,"to Moscow, before 11am",[0]
759А-C1,1,to Moscow,9.166666666666666,before 11am,"to Moscow, before 11am",[0]
002А-Купе,2,from Moscow,23.916666666666668,after 11am,"from Moscow, after 11am",[4]
006А-СВ,2,from Moscow,22.83333333333333,after 11am,"from Moscow, after 11am",[4]
708Н-СВ,2,from Moscow,15.716666666666669,after 11am,"from Moscow, after 11am",[4]
708Н-Сидячий,2,from Moscow,15.716666666666669,after 11am,"from Moscow, after 11am",[4]
710Н-СВ,2,from Moscow,20.35,after 11am,"from Moscow, after 11am",[4]
752А-C1,2,from Moscow,5.75,before 11am,"from Moscow, before 11am",[4]
754А-B1,2,from Moscow,6.833333333333333,before 11am,"from Moscow, before 11am",[4]
754А-C1,2,from Moscow,6.833333333333333,before 11am,"from Moscow, before 11am",[4]
756А-B1,2,from Moscow,7.0,before 11am,"from Moscow, before 11am",[4]
756А-C1,2,from Moscow,7.0,before 11am,"from Moscow, before 11am",[4]
760А-B1,2,from Moscow,9.666666666666666,before 11am,"from Moscow, before 11am",[4]
760А-C1,2,from Moscow,9.666666666666666,before 11am,"from Moscow, before 11am",[4]
766А-B1,2,from Moscow,13.5,after 11am,"from Moscow, after 11am",[4]
766А-B2,2,from Moscow,13.5,after 11am,"from Moscow, after 11am",[4]
766А-C1,2,from Moscow,13.5,after 11am,"from Moscow, after 11am",[4]
766А-C2,2,from Moscow,13.5,after 11am,"from Moscow, after 11am",[4]
768А-B1,2,from Moscow,15.5,after 11am,"from Moscow, after 11am",[4]
768А-B2,2,from Moscow,15.5,after 11am,"from Moscow, after 11am",[4]
768А-C1,2,from Moscow,15.5,after 11am,"from Moscow, after 11am",[4]
770А-B1,2,from Moscow,15.666666666666666,after 11am,"from Moscow, after 11am",[4]
770А-B2,2,from Moscow,15.666666666666666,after 11am,"from Moscow, after 11am",[4]
770А-C1,2,from Moscow,15.666666666666666,after 11am,"from Moscow, after 11am",[4]
770А-C2,2,from Moscow,15.666666666666666,after 11am,"from Moscow, after 11am",[4]
772А-B1,2,from Moscow,17.5,after 11am,"from Moscow, after 11am",[4]
772А-B2,2,from Moscow,17.5,after 11am,"from Moscow, after 11am",[4]
772А-C1,2,from Moscow,17.5,after 11am,"from Moscow, after 11am",[4]
772А-C2,2,from Moscow,17.5,after 11am,"from Moscow, after 11am",[4]
776А-B1,2,from Moscow,19.5,after 11am,"from Moscow, after 11am",[4]
776А-B2,2,from Moscow,19.5,after 11am,"from Moscow, after 11am",[4]
776А-C1,2,from Moscow,19.5,after 11am,"from Moscow, after 11am",[4]
776А-C2,2,from Moscow,19.5,after 11am,"from Moscow, after 11am",[4]
778А-B1,2,from Moscow,19.666666666666668,after 11am,"from Moscow, after 11am",[4]
778А-B2,2,from Moscow,19.666666666666668,after 11am,"from Moscow, after 11am",[4]
778А-C1,2,from Moscow,19.666666666666668,after 11am,"from Moscow, after 11am",[4]
778А-C2,2,from Moscow,19.666666666666668,after 11am,"from Moscow, after 11am",[4]
780А-B1,2,from Moscow,21.0,after 11am,"from Moscow, after 11am",[4]
780А-B2,2,from Moscow,21.0,after 11am,"from Moscow, after 11am",[4]
780А-C1,2,from Moscow,21.0,after 11am,"from Moscow, after 11am",[4]
780А-C2,2,from Moscow,21.0,after 11am,"from Moscow, after 11am",[4]
702Н-Сидячий,3,from Moscow,6.583333333333333,before 11am,"from Moscow, before 11am","[4, 5]"
704Н-СВ,3,from Moscow,10.566666666666666,before 11am,"from Moscow, before 11am","[4, 5]"
704Н-Сидячий,3,from Moscow,10.566666666666666,before 11am,"from Moscow, before 11am","[4, 5]"
706Н-СВ,3,from Moscow,14.0,after 11am,"from Moscow, after 11am","[4, 5]"
710Н-Сидячий,3,from Moscow,20.35,after 11am,"from Moscow, after 11am","[4, 5]"
752А-B2,3,from Moscow,5.75,before 11am,"from Moscow, before 11am","[4, 5]"
752А-C2,3,from Moscow,5.75,before 11am,"from Moscow, before 11am","[4, 5]"
754А-B2,3,from Moscow,6.833333333333333,before 11am,"from Moscow, before 11am","[4, 5]"
754А-C2,3,from Moscow,6.833333333333333,before 11am,"from Moscow, before 11am","[4, 5]"
755А-C2,3,to Moscow,6.833333333333333,before 11am,"to Moscow, before 11am","[4, 5]"
756А-B2,3,from Moscow,7.0,before 11am,"from Moscow, before 11am","[4, 5]"
756А-C2,3,from Moscow,7.0,before 11am,"from Moscow, before 11am","[4, 5]"
759А-C2,3,to Moscow,9.166666666666666,before 11am,"to Moscow, before 11am","[4, 5]"
760А-B2,3,from Moscow,9.666666666666666,before 11am,"from Moscow, before 11am","[4, 5]"
760А-C2,3,from Moscow,9.666666666666666,before 11am,"from Moscow, before 11am","[4, 5]"
768А-C2,3,from Moscow,15.5,after 11am,"from Moscow, after 11am","[4, 5]"
